"start","end","date","dev_id","ecotone_location","ecotone_location_latitude","ecotone_location_longitude","ecotone_location_altitude","ecotone_location_precision","ecotone_location_wkt","ecotone_image","notes","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by"
2024-05-20 11:22:41.311,2024-05-20 17:16:19.327,2024-05-20,"collect:Ko3jwT6G31vuAcKR","1.6716601 37.352357 673.1919101864638 4.399",1.6716601,37.352357,673.191910186464,4.399,"POINT (37.352357 1.6716601 673.1919101864638)","1716204184856.jpg","Shrubs and acacia trees",340975224,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:f692ff48-a5e2-4fd5-a782-b9c95041bf53","a4E8PDPfBLNHwfgjV8obmT","f692ff48-a5e2-4fd5-a782-b9c95041bf53","submitted_via_web",2024-05-20 17:16:24,,"dtra_nk"
2024-05-20 13:22:31.33,2024-05-20 13:25:01.402,2024-05-20,"collect:Ko3jwT6G31vuAcKR","1.6445914 37.3817218 635.1219179319561 4.99",1.6445914,37.3817218,635.121917931956,4.99,"POINT (37.3817218 1.6445914 635.1219179319561)","1716211486783.jpg","Acacia trees and scattered shrubs",340975245,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:6677e136-84ca-47d6-88f9-7c9dbba495be","a4E8PDPfBLNHwfgjV8obmT","6677e136-84ca-47d6-88f9-7c9dbba495be","submitted_via_web",2024-05-20 17:16:33,,"dtra_nk"
2024-05-21 07:58:31.293,2024-05-21 12:37:09.292,2024-05-21,"collect:Ko3jwT6G31vuAcKR","1.6464006 37.3835732 637.1806676700187 3.964",1.6464006,37.3835732,637.180667670019,3.964,"POINT (37.3835732 1.6464006 637.1806676700187)","1716278333371.jpg","Acacia trees",341384575,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:bd3ec5de-7b08-4e94-a86a-1045948cc8a4","a4E8PDPfBLNHwfgjV8obmT","bd3ec5de-7b08-4e94-a86a-1045948cc8a4","submitted_via_web",2024-05-21 19:17:38,,"dtra_nk"
2024-05-21 08:08:15.008,2024-05-21 12:37:29.791,2024-05-21,"collect:Ko3jwT6G31vuAcKR","1.6441877 37.3859939 632.6161542374275 3.721",1.6441877,37.3859939,632.616154237428,3.721,"POINT (37.3859939 1.6441877 632.6161542374275)","1716278923704.jpg","A dry river and acacia trees",341384585,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:3e8b7697-5e50-48c7-a1b5-7ffdc1d14e65","a4E8PDPfBLNHwfgjV8obmT","3e8b7697-5e50-48c7-a1b5-7ffdc1d14e65","submitted_via_web",2024-05-21 19:17:40,,"dtra_nk"
2024-05-21 14:04:27.059,2024-05-21 14:05:26.373,2024-05-21,"collect:Ko3jwT6G31vuAcKR","1.6296225 37.3849653 628.3355764362932 4.613",1.6296225,37.3849653,628.335576436293,4.613,"POINT (37.3849653 1.6296225 628.3355764362932)","1716300313990.jpg","River",341384595,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:6a9f8074-6869-4621-8529-6d2d467caada","a4E8PDPfBLNHwfgjV8obmT","6a9f8074-6869-4621-8529-6d2d467caada","submitted_via_web",2024-05-21 19:17:41,,"dtra_nk"
2024-05-22 08:24:13.659,2024-05-22 17:19:37.221,2024-05-22,"collect:Ko3jwT6G31vuAcKR","1.6510498 37.3831615 643.2733428279166 4.568",1.6510498,37.3831615,643.273342827917,4.568,"POINT (37.3831615 1.6510498 643.2733428279166)","1716366276562.jpg","Acacia trees and shrubs",341723968,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:d75aecb5-0a54-4341-89cb-3b727ccffbd1","a4E8PDPfBLNHwfgjV8obmT","d75aecb5-0a54-4341-89cb-3b727ccffbd1","submitted_via_web",2024-05-22 17:22:20,,"dtra_nk"
2024-05-22 09:31:28.285,2024-05-22 17:19:45.17,2024-05-22,"collect:Ko3jwT6G31vuAcKR","1.6400732 37.3834661 629.5338174701418 4.187",1.6400732,37.3834661,629.533817470142,4.187,"POINT (37.3834661 1.6400732 629.5338174701418)","1716370319609.jpg","No comment",341723977,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:fe665d6e-056e-41c5-832a-193e51ee5293","a4E8PDPfBLNHwfgjV8obmT","fe665d6e-056e-41c5-832a-193e51ee5293","submitted_via_web",2024-05-22 17:22:22,,"dtra_nk"
2024-06-08 06:13:33.461,2024-06-08 17:38:32.681,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2890664 36.8970306 1250.168173199061 4.851",1.2890664,36.8970306,1250.16817319906,4.851,"POINT (36.8970306 1.2890664 1250.168173199061)","1717827241029.jpg","Acacia trees",347253468,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:0d0b6340-c6a2-41c6-bd70-da81cdf16bc2","a4E8PDPfBLNHwfgjV8obmT","0d0b6340-c6a2-41c6-bd70-da81cdf16bc2","submitted_via_web",2024-06-08 17:40:28,,"dtra_nk"
2024-06-08 06:14:23.015,2024-06-08 17:38:42.866,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.288955 36.8969298 1247.701132298739 3.846",1.288955,36.8969298,1247.70113229874,3.846,"POINT (36.8969298 1.288955 1247.701132298739)","1717827293347.jpg",,347253474,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:aee154f5-66fa-4c6d-8482-afa086942562","a4E8PDPfBLNHwfgjV8obmT","aee154f5-66fa-4c6d-8482-afa086942562","submitted_via_web",2024-06-08 17:40:29,,"dtra_nk"
2024-06-08 09:18:05.447,2024-06-08 17:38:52.212,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2896469 36.8975776 1247.938968781133 4.867",1.2896469,36.8975776,1247.93896878113,4.867,"POINT (36.8975776 1.2896469 1247.938968781133)","1717838322982.jpg","Acacia trees",347253479,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:82709ed2-66bf-4669-921d-a0df31ea9187","a4E8PDPfBLNHwfgjV8obmT","82709ed2-66bf-4669-921d-a0df31ea9187","submitted_via_web",2024-06-08 17:40:30,,"dtra_nk"
