"start","end","date","dev_id","enumerator","language","county","ward","hh_id","livestock_species","sex","cattle_age","camel_age","sheep_age","goat_age","donkey_age","rabbit_age","chicken_age","cattle_breed","camel_breed","sheep_breed","goat_breed","rabbit_breed","chicken_breed","bcs_cattle","bcs","body_temp","Serum_blood_parentID","EDTA_blood_aliquot1","EDTA_blood_aliquot2","short_term_selected","gps_logger_id","long_term_selected","ceres_tag_vid","female_syndromes","female_syndromes_still_birth","female_syndromes_abortion","female_syndromes_retained_placenta","female_syndromes_weak_calf_kid_lamb","female_syndromes_failed_to_conceive","female_syndromes_none","female_syndromes_dont_know","other_female_syndromes","swollen_joints","male_syndromes","male_syndromes_swollen_testes","male_syndromes_haemorrhage_symptoms","male_syndromes_none","notes","_id","instanceID","rootUuid","deprecatedID","uuid","__version__","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","enumerator_other","sheep_breed_other","camel_breed_other","goat_breed_other"
2024-04-29 06:07:10.929,2024-04-29 07:38:55.539,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","sheep","female",,,"over_1yr",,,,,,,"dorper",,,,,"3",38,"DSR000071","DDT000128","DDT000129","no",,"no",,"none",0,0,0,0,0,1,0,"no","no",,,,,,334405963,"uuid:3c91e26d-e347-4163-a817-6faa3ccaccf6",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","3c91e26d-e347-4163-a817-6faa3ccaccf6","submitted_via_web",2024-04-29 19:27:20,,"dtra_nk",,,,
2024-04-29 06:11:17.709,2024-04-29 07:39:07.079,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","sheep","male",,,"six_to_twelve_months",,,,,,,"dorper",,,,,"3",38,"DSR000072","DDT000130","DDT000131","no",,"no",,,,,,,,,,,"no","none",0,0,1,,334405967,"uuid:43161371-657f-46a1-9061-25d2d5e7de1c",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","43161371-657f-46a1-9061-25d2d5e7de1c","submitted_via_web",2024-04-29 19:27:22,,"dtra_nk",,,,
2024-04-29 06:19:22.973,2024-04-29 07:39:28.4,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","goat","female",,,,"less_than_six_months",,,,,,,"cross_breed",,,,"3",38,"DSR000073","DDT000132","DDT000133","no",,"no",,,,,,,,,,"no","no",,,,,,334405971,"uuid:03e6bed5-6add-47e7-bb52-6cd280f4c448",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","03e6bed5-6add-47e7-bb52-6cd280f4c448","submitted_via_web",2024-04-29 19:27:23,,"dtra_nk",,,,
2024-04-29 06:23:39.19,2024-04-29 07:39:42.478,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","chicken","male",,,,,,,"more_than_17_wks",,,,,,"indegenous",,,41,"DSR000074","DDT000134","DDT000135","no",,"no",,,,,,,,,,,,,,,,,334405976,"uuid:240db076-2338-4fe2-b0e7-a00052821453",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","240db076-2338-4fe2-b0e7-a00052821453","submitted_via_web",2024-04-29 19:27:24,,"dtra_nk",,,,
2024-04-29 06:28:15.503,2024-04-29 07:40:02.585,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","chicken","female",,,,,,,"more_than_17_wks",,,,,,"indegenous",,,42,"DSR000075","DDT000136","DDT000137","no",,"no",,,,,,,,,,,,,,,,,334405979,"uuid:c340a001-4421-49f0-ad96-87c040f57841",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","c340a001-4421-49f0-ad96-87c040f57841","submitted_via_web",2024-04-29 19:27:25,,"dtra_nk",,,,
2024-04-29 05:33:13.819,2024-04-29 07:41:06.12,2024-04-29,"collect:xrIEUbZY74xsroUV","2","local","samburu","porro","DHH010005","cattle","female","six_months_to_year_calf",,,,,,,"cross_breed",,,,,,"6",,38,"DSR000066","DDT000118","DDT000119","no",,"no",,,,,,,,,,"no","no",,,,,"Ambyloma and hyalloma ticks found in the sampled animal(DTK000097)",334405993,"uuid:a792923c-ad22-4ac5-bd2a-5efbfc7e34b7",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","a792923c-ad22-4ac5-bd2a-5efbfc7e34b7","submitted_via_web",2024-04-29 19:27:30,,"dtra_nk",,,,
2024-04-29 05:48:39.58,2024-04-29 07:41:27.503,2024-04-29,"collect:xrIEUbZY74xsroUV","2","local","samburu","porro","DHH010005","cattle","female","six_months_to_year_calf",,,,,,,"cross_breed",,,,,,"6",,38,"DSR000067","DDT000120","DDT000121","no",,"no",,,,,,,,,,"yes","no",,,,,,334405998,"uuid:52aa7aa0-1d92-431a-a206-106407eb68e0",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","52aa7aa0-1d92-431a-a206-106407eb68e0","submitted_via_web",2024-04-29 19:27:31,,"dtra_nk",,,,
2024-05-20 04:18:11.207,2024-05-20 17:31:14.781,2024-05-20,"collect:W7gdBJ4Ypb4GvukP","1","local","samburu","ndoto","DHH010007","goat","female",,,,"over_1yr",,,,,,,"galla",,,,"2",37,"DSR000113","DDT000212","DDT000213","yes",5,"no",,"abortion",0,1,0,0,0,0,0,"no","no",,,,,"None",340984176,"uuid:cef37602-614f-4088-8156-c93e335db79d",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","cef37602-614f-4088-8156-c93e335db79d","submitted_via_web",2024-05-20 17:50:41,,"dtra_nk",,,,
2024-05-20 04:26:38.666,2024-05-20 17:33:43.823,2024-05-20,"collect:W7gdBJ4Ypb4GvukP","1","local","samburu","ndoto","DHH010007","goat","male",,,,"less_than_six_months",,,,,,,"galla",,,,"2",37,"DSR000114","DDT000214","DDT000215","no",,"no",,,,,,,,,,,"no","none",0,0,1,"None",340984177,"uuid:7424f9fa-9c70-40f2-8ed7-57da61a30398",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","7424f9fa-9c70-40f2-8ed7-57da61a30398","submitted_via_web",2024-05-20 17:50:41,,"dtra_nk",,,,
2024-05-20 04:32:58.085,2024-05-20 17:35:11.234,2024-05-20,"collect:W7gdBJ4Ypb4GvukP","1","local","samburu","ndoto","DHH010007","goat","female",,,,"over_1yr",,,,,,,"galla",,,,"3",37,"DSR000115","DDT000216","DDT000217","no",,"no",,"none",0,0,0,0,0,1,0,"no","no",,,,,"None",340984182,"uuid:b6f03f9e-6075-4d00-a6bb-eba6a39b1a1d",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","b6f03f9e-6075-4d00-a6bb-eba6a39b1a1d","submitted_via_web",2024-05-20 17:50:41,,"dtra_nk",,,,
